@relation mixed_instances_1

@attribute token_count numeric
@attribute avg_token_count numeric
@attribute SLD_URL_mal numeric
@attribute SLD_URL_phis numeric
@attribute SLD_URL_spam numeric
@attribute inbound_link_google numeric
@attribute inbound_link_yahoo numeric
@attribute inbound_link_bing numeric
@attribute lookup_time numeric
@attribute class {malware,phishing,spamming}

@data
2,9.5,0,0,0.000004,0,0,0,88,spamming
2,5.5,0.000643,0,0,0,0,0,502,malware
3,6.666667,0,0.000035,0,0,0,0,587,phishing
2,9.5,0,0,0.000004,0,0,0,346,spamming
2,7.5,0.000643,0,0,0,0,0,530,malware
3,7,0,0.000035,0,0,0,0,494,phishing
2,9.5,0,0,0.000004,0,0,0,56,spamming
2,7.5,0.000643,0,0,0,0,0,434,malware
2,10,0,0.000069,0,0,0,0,285,phishing
2,9.5,0,0,0.000004,0,0,0,275,spamming
2,7,0.000643,0,0,0,0,0,129,malware
2,5,0,0.00045,0,0,0,0,55,phishing
2,9.5,0,0,0.000004,0,0,0,179,spamming
2,7.5,0.000643,0,0,0,0,0,694,malware
3,3.333333,0,0.000035,0,0,0,0,497,phishing
2,9.5,0,0,0.000004,0,0,0,307,spamming
2,15,0.000643,0,0,0,0,0,522,malware
2,2,0,0.00097,0,0,0,0,73,phishing
2,9.5,0,0,0.000004,0,0,0,49,spamming
3,8,0.000643,0,0,0,0,0,574,malware
4,4,0.000643,0.00194,0.000285,0,0,0,303,phishing
2,9.5,0,0,0.000004,0,0,0,75,spamming
2,4.5,0.000643,0,0,0,0,0,193,malware
3,6,0.000643,0.000069,0,0,0,0,355,phishing
2,9.5,0,0,0.000004,0,0,0,97,spamming
6,5,0.00964,0.038167,0.00537,0,0,0,528,malware
4,7.25,0,0.000035,0,0,0,0,340,phishing
2,9.5,0,0,0.000004,0,0,0,301,spamming
2,6,0.000643,0,0,0,0,0,64,malware
3,6,0,0.000208,0,0,0,0,343,phishing
2,9.5,0,0,0.000004,0,0,0,56,spamming
2,5,0.000643,0,0,0,0,0,263,malware
3,6.666667,0,0.000242,0,0,0,0,533,phishing
2,9.5,0,0,0.000004,0,0,0,57,spamming
2,7,0.000643,0,0,0,0,0,1188,malware
3,4.666667,0.030848,0.016694,0.010558,0,0,0,496,phishing
2,9.5,0,0,0.000004,0,0,0,317,spamming
3,4.666667,0.000643,0,0,0,0,0,318,malware
3,3,0,0.000035,0,0,0,0,80,phishing
2,9.5,0,0,0.000004,0,0,0,134,spamming
2,12,0.000643,0,0,0,0,0,81,malware
4,4.25,0,0.000104,0,0,0,0,1484,phishing
2,10,0,0,0.000004,0,0,0,104,spamming
2,10,0.000643,0,0,0,0,0,430,malware
3,5.666667,0,0.000035,0,0,0,0,514,phishing
2,10,0,0,0.000004,0,0,0,66,spamming
2,6,0.000643,0,0,0,0,0,409,malware
4,3.5,0,0.000242,0.000008,0,0,0,788,phishing
2,10,0,0,0.000004,0,0,0,65,spamming
2,11,0.000643,0,0,0,0,0,285,malware
3,6.333333,0.003856,0.026149,0.000004,0,0,0,331,phishing
2,10,0,0,0.000004,0,0,0,167,spamming
3,4.333333,0.000643,0,0,0,0,0,438,malware
2,6.5,0,0.000035,0,0,0,0,526,phishing
2,10,0,0,0.000004,0,0,0,267,spamming
2,4.5,0.000643,0,0,0,0,0,478,malware
4,2.5,0,0.000035,0,0,0,0,0,phishing
2,10,0,0,0.000004,0,0,0,88,spamming
3,7,0.000643,0,0,0,0,0,12975,malware
2,11.5,0,0.000035,0,0,0,0,420,phishing
2,10,0,0,0.000004,0,0,0,69,spamming
3,8.666667,0.000643,0,0,0,0,0,466,malware
2,7.5,0,0.000139,0,0,0,0,1,phishing
2,10,0,0,0.000004,0,0,0,96,spamming
3,7.333333,0.000643,0,0,0,0,0,4182,malware
3,10.333333,0,0.000866,0,0,0,0,373,phishing
2,10,0,0,0.000004,0,0,0,108,spamming
3,8.666667,0.000643,0,0,0,0,0,2685,malware
